+Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,DONE
HARD,Trapping Rain Water,47.9,0.645646996,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",
MEDIUM,Zero Array Transformation I,47.9,0.457878341,https://leetcode.com/problems/zero-array-transformation-i,"Array, Prefix Sum",
MEDIUM,Container With Most Water,47.9,0.574009817,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",
MEDIUM,Rotate Image,47.9,0.774271622,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",
MEDIUM,Minimum Time to Repair Cars,47.9,0.599775159,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search",
MEDIUM,Subsets,47.9,0.804723299,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",
EASY,Binary Tree Inorder Traversal,41.6,0.782171735,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree",
MEDIUM,Reverse Integer,41.6,0.300068588,https://leetcode.com/problems/reverse-integer,Math,
EASY,Climbing Stairs,41.6,0.534103138,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",
HARD,Serialize and Deserialize N-ary Tree,41.6,0.681350341,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search",
EASY,Logger Rate Limiter,41.6,0.764089736,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream",
EASY,Valid Parentheses,41.6,0.420235165,https://leetcode.com/problems/valid-parentheses,"String, Stack",
EASY,Power of Two,41.6,0.48250969,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion",
MEDIUM,The Earliest Moment When Everyone Become Friends,41.6,0.656201496,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting",
MEDIUM,Rotate List,41.6,0.395980485,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers",
MEDIUM,Remove Nth Node From End of List,41.6,0.484057733,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",
MEDIUM,Next Permutation,41.6,0.425864806,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",
MEDIUM,Kth Largest Element in an Array,41.6,0.67740502,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",
HARD,N-Queens,41.6,0.720561335,https://leetcode.com/problems/n-queens,"Array, Backtracking",
MEDIUM,Top K Frequent Elements,41.6,0.642517638,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",
MEDIUM,Letter Combinations of a Phone Number,41.6,0.633666417,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",
MEDIUM,Spiral Matrix II,32.7,0.731251487,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation",
MEDIUM,Maximum Candies Allocated to K Children,32.7,0.501969894,https://leetcode.com/problems/maximum-candies-allocated-to-k-children,"Array, Binary Search",
MEDIUM,Zero Array Transformation II,32.7,0.438166602,https://leetcode.com/problems/zero-array-transformation-ii,"Array, Binary Search, Prefix Sum",
EASY,Remove Linked List Elements,32.7,0.514060175,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion",
EASY,Binary Search,32.7,0.592953667,https://leetcode.com/problems/binary-search,"Array, Binary Search",
MEDIUM,Valid Sudoku,32.7,0.618916806,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",
MEDIUM,Delete Nodes And Return Forest,32.7,0.724221249,https://leetcode.com/problems/delete-nodes-and-return-forest,"Array, Hash Table, Tree, Depth-First Search, Binary Tree",
EASY,Find the Index of the First Occurrence in a String,32.7,0.446518667,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",
MEDIUM,Word Search,32.7,0.448387579,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",
MEDIUM,Rotting Oranges,32.7,0.561814809,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",
EASY,Isomorphic Strings,32.7,0.46563765,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String",
EASY,Remove Element,32.7,0.596806699,https://leetcode.com/problems/remove-element,"Array, Two Pointers",
MEDIUM,Maximum Subarray,32.7,0.518640174,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",
EASY,Search Insert Position,32.7,0.485762202,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",
EASY,Move Zeroes,32.7,0.626410582,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",
EASY,Reverse Linked List,32.7,0.78849521,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",
MEDIUM,Palindrome Partitioning,32.7,0.716239932,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking",
MEDIUM,Rotate Array,32.7,0.426525609,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",
MEDIUM,"Pow(x, n)",32.7,0.366948314,https://leetcode.com/problems/powx-n,"Math, Recursion",
EASY,Contains Duplicate,32.7,0.629553006,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",
MEDIUM,Insert Delete GetRandom O(1),32.7,0.549680183,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",
EASY,Add Binary,32.7,0.55367945,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation",
MEDIUM,Convert Object to JSON String,32.7,0.778339654,https://leetcode.com/problems/convert-object-to-json-string,,
MEDIUM,Validate Binary Search Tree,32.7,0.341178467,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",
MEDIUM,Count and Say,32.7,0.581829408,https://leetcode.com/problems/count-and-say,String,
MEDIUM,Unique Paths,32.7,0.655375919,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics",
MEDIUM,Random Pick with Weight,32.7,0.483271798,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",
MEDIUM,Minimum Area Rectangle II,32.7,0.554379194,https://leetcode.com/problems/minimum-area-rectangle-ii,"Array, Math, Geometry",
MEDIUM,Swap Nodes in Pairs,32.7,0.667518052,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion",
